hour,day_of_week,vehicle_count,weather,accident,road_type,event,congestion_level,cluster
3,4,1622,0,1,1,0,73.66,2
21,3,50,1,0,1,0,14.5,1
17,4,960,1,0,0,1,55.8,1
11,0,1622,2,0,0,0,68.66,2
1,0,190,1,1,0,1,56.7,1
9,3,1817,2,1,0,0,100.0,2
3,3,697,0,1,1,1,67.91,2
13,6,1974,0,1,0,0,84.22,0
15,6,237,2,1,0,1,70.11,1
14,5,1201,1,0,0,0,49.03,1
7,3,250,2,0,0,0,31.5,1
13,2,1200,1,0,0,1,67.0,0
22,4,306,0,1,1,1,56.18,1
7,3,1749,1,0,1,0,67.47,2
20,1,596,2,0,0,1,52.88,1
15,5,243,2,1,0,0,58.29,1
12,1,752,0,1,1,1,64.56,1
17,0,1177,1,0,0,0,50.31,0
14,6,1608,1,0,1,1,80.24,0
20,4,1338,1,1,1,0,81.14,0
23,3,851,0,1,0,0,59.53,0
12,1,991,1,1,1,0,69.73,0
8,4,1457,2,1,0,1,100.0,2
14,0,1333,1,0,0,0,57.99,0
12,6,463,0,0,1,1,28.89,1
0,2,1431,1,1,1,1,92.93,2
6,5,1148,1,0,0,1,59.44,2
8,4,1428,2,0,1,0,69.84,2
23,4,1657,1,1,0,1,100.0,0
0,2,1844,2,0,1,1,96.32,2
11,4,959,2,0,1,1,65.77,2
7,0,237,0,0,0,0,8.11,1
23,0,1758,2,1,0,1,100.0,0
10,2,1363,2,1,0,1,100.0,2
18,5,94,0,0,1,1,23.82,1
16,3,1646,2,1,0,1,100.0,0
7,1,132,0,1,0,0,35.96,1
2,3,1196,1,1,1,0,75.88,2
2,4,407,0,0,1,1,29.21,1
0,1,1601,2,0,0,1,88.03,2
4,2,1139,0,1,0,1,75.17,2
9,2,985,2,0,0,1,70.55,2
6,5,1730,1,0,0,0,70.9,2
8,1,424,0,0,1,0,18.72,1
6,0,211,1,0,1,0,19.33,1
8,1,1819,2,0,0,0,81.57,2
7,4,1453,2,1,0,1,100.0,2
11,0,1729,1,0,0,1,82.87,2
1,6,1431,0,0,1,0,45.93,2
0,6,1261,0,0,0,0,41.83,2
15,6,371,2,1,0,1,77.13,1
22,2,499,1,1,1,1,73.97,0
22,1,1547,1,1,1,1,98.41,0
23,6,1086,0,0,0,1,56.58,0
4,3,233,0,1,0,1,50.99,1
2,5,160,0,1,1,0,31.8,1
11,3,557,1,1,0,0,55.71,1
7,6,1363,0,1,0,1,82.89,2
21,5,344,0,0,1,1,34.32,1
2,4,1524,2,1,1,0,96.72,2
0,3,953,0,1,1,1,68.59,2
2,1,1288,0,0,0,0,46.64,2
4,1,1023,1,0,1,0,48.69,2
14,3,681,1,1,1,0,59.43,1
13,6,1967,2,0,0,0,87.00999999999999,0
2,1,1640,0,1,0,1,98.2,2
0,4,1100,2,0,1,1,73.0,2
4,0,1703,1,0,1,0,65.09,2
22,6,782,2,1,0,1,85.46000000000001,0
13,4,1304,1,0,0,1,71.12,0
6,5,1638,2,1,1,1,100.0,2
8,4,1880,2,0,1,1,100.0,2
14,6,370,0,1,0,0,38.1,1
14,5,962,2,0,1,1,68.86,0
9,6,1306,0,0,0,0,46.18,2
12,1,1743,0,0,1,0,60.29,0
18,0,486,0,0,0,1,34.58,1
6,6,830,0,0,0,0,28.9,1
16,6,1606,2,1,1,1,100.0,0
19,1,1476,1,0,1,1,70.28,0
3,2,1126,1,1,0,0,76.78,2
4,1,1860,1,1,1,1,100.0,2
22,5,1386,2,1,1,0,87.58,0
6,1,1354,0,0,1,0,42.62,2
12,1,775,1,1,0,1,75.25,0
14,0,80,2,0,1,1,40.4,1
10,1,386,0,1,1,1,57.58,1
3,6,232,1,1,0,0,49.96,1
12,0,1096,0,1,1,1,73.88,0
6,3,593,1,1,1,0,55.79,1
18,2,1519,1,1,0,0,88.57,0
21,0,1147,1,0,0,1,60.41,0
1,5,1083,0,1,1,1,81.49000000000001,2
9,3,1557,2,1,1,1,100.0,2
12,0,1529,0,0,0,0,54.87,0
20,0,1639,1,0,0,1,81.17,0
5,2,1637,0,0,1,0,57.11,2
11,6,709,2,1,1,1,87.27,2
11,5,209,0,1,1,1,53.27,1
19,4,1955,2,1,0,0,100.0,0
10,4,1087,2,1,1,0,80.61,2
22,0,1251,0,1,0,1,78.53,0
6,1,461,1,1,0,1,70.83,1
0,5,1951,2,0,0,1,94.53,2
0,3,1061,0,0,1,1,54.83,2
19,1,102,2,1,1,1,66.06,1
12,1,457,1,1,1,0,48.71,1
8,5,896,0,1,0,0,54.88,1
2,6,1095,0,1,1,0,59.85,2
6,0,1103,0,1,0,0,63.09,2
5,0,752,1,0,0,1,53.56,1
7,0,309,2,0,0,0,36.27,1
8,0,1278,0,1,0,0,64.34,2
4,4,1132,2,0,0,0,58.96,2
0,0,1544,2,1,0,1,100.0,2
18,4,825,1,1,1,0,68.75,0
9,4,1539,0,1,0,1,90.17,2
11,6,1085,2,0,1,0,61.55,2
23,0,1704,0,0,0,1,75.12,0
14,2,1363,0,1,1,0,71.89,0
21,3,899,1,0,1,1,53.97,0
23,1,1833,0,0,1,0,57.99,0
8,4,403,0,1,1,1,61.09,1
19,5,1712,2,0,0,1,94.36,0
16,5,1148,1,0,0,0,47.44,1
16,3,922,0,1,0,1,69.66,0
19,5,1789,2,1,0,1,100.0,0
11,2,1634,1,0,1,0,63.02,2
6,5,1664,1,1,1,0,87.92,2
1,1,1514,2,0,1,1,87.42,2
2,1,1040,2,1,0,0,82.2,2
16,4,1314,2,1,1,0,89.42,0
4,0,1067,2,1,0,0,78.00999999999999,2
16,6,1934,2,1,1,1,100.0,0
23,2,1227,0,0,1,1,60.81,0
16,4,1859,0,1,1,1,100.0,0
16,2,1169,1,1,1,1,93.07,0
1,0,1799,0,1,1,1,97.97,2
1,5,343,0,0,0,1,27.29,1
21,5,258,0,0,1,1,23.74,1
22,6,1416,2,1,0,0,94.48,0
4,0,1161,1,1,0,1,89.83,2
0,4,867,1,1,0,1,85.00999999999999,2
0,6,1849,1,1,0,0,96.47,2
18,0,439,1,1,0,0,48.17,1
1,3,374,0,1,0,0,36.22,1
20,1,989,0,0,0,1,53.67,0
11,6,938,2,1,0,0,74.14,2
5,6,1905,1,1,1,1,100.0,2
22,4,1230,0,1,1,1,78.9,0
3,2,717,0,1,0,1,61.51,2
22,3,1724,2,1,0,0,100.0,0
10,4,682,2,1,0,0,67.46000000000001,1
23,0,626,2,0,1,1,53.78,1
16,0,1692,0,0,1,1,72.75999999999999,0
5,0,1732,0,0,0,1,71.96000000000001,2
23,0,186,2,0,0,0,33.58,1
4,2,1996,1,0,1,1,86.88,2
19,3,1747,2,0,1,0,80.41,0
1,5,477,2,1,0,1,82.31,2
5,1,1525,2,1,0,0,90.75,2
21,2,661,2,1,0,1,81.83,0
10,2,1923,0,1,0,0,87.69,2
15,5,960,1,1,1,0,70.8,0
15,5,868,2,1,1,0,74.03999999999999,0
0,1,190,1,0,0,0,19.7,1
8,1,1156,1,1,0,0,77.68,2
5,5,226,1,0,0,0,21.78,1
15,0,247,2,0,1,1,48.41,1
2,2,673,0,1,0,1,66.19,2
19,4,1641,2,1,0,1,100.0,0
3,1,740,1,1,0,1,75.2,2
18,1,1494,1,1,1,0,82.82,0
2,5,450,0,1,0,1,57.5,1
18,3,1771,2,1,1,0,100.0,0
19,4,520,1,1,0,0,57.6,1
6,4,267,0,0,0,0,16.009999999999998,1
19,1,1998,1,1,0,1,100.0,0
8,0,978,0,1,1,0,60.34,2
0,3,1901,0,0,0,1,72.03,2
7,4,1802,2,1,0,1,100.0,2
6,1,681,1,1,1,1,73.43,2
17,4,1000,2,0,1,1,74.0,0
7,6,955,1,1,1,1,84.65,2
0,3,224,2,1,0,0,52.72,1
10,3,72,1,1,1,0,38.16,1
17,6,1798,2,1,0,1,100.0,0
22,2,1990,0,1,1,0,93.7,0
9,6,284,1,1,1,1,59.52,1
2,5,1086,1,0,1,0,48.58,2
6,5,1174,0,1,0,0,68.22,2
15,1,978,2,1,0,0,79.34,0
15,3,1609,1,0,0,0,67.27,0
19,2,1949,1,0,0,0,69.47,0
16,2,572,2,1,0,0,71.16,1
1,4,1858,0,0,0,0,64.74,2
0,4,1525,2,1,0,0,98.75,2
15,6,480,2,1,0,0,65.4,1
11,2,842,2,0,0,0,45.26,1
4,6,1679,1,1,1,0,93.37,2
4,6,1786,0,1,1,0,79.58,2
22,4,582,0,0,0,0,20.46,1
8,3,1925,2,0,0,1,100.0,2
8,6,1028,1,0,0,0,43.84,1
2,0,1796,2,0,0,0,75.88,2
18,3,1725,1,1,1,0,86.75,0
15,2,1366,1,0,1,0,56.98,0
15,2,859,1,0,0,0,40.77,1
2,6,962,1,0,1,0,47.86,2
19,3,1174,0,0,1,1,53.22,0
23,4,1575,1,0,0,1,77.25,0
21,4,1377,1,1,0,1,96.31,0
23,5,920,2,0,0,0,50.6,0
0,2,589,2,1,0,0,67.67,2
23,1,1073,0,0,1,0,41.19,0
19,5,1626,2,0,0,1,90.78,0
10,4,1428,1,0,1,0,54.84,2
16,3,1376,2,0,0,0,64.28,0
7,4,1569,0,0,1,1,71.07,2
3,3,1731,2,0,0,1,86.93,2
5,5,1841,2,0,0,0,78.22999999999999,2
7,2,276,0,0,1,0,17.28,1
19,4,1309,0,1,1,0,73.27,0
2,6,922,1,0,1,0,45.66,1
15,3,941,2,1,0,1,95.23,0
2,2,1528,1,0,1,0,58.84,2
17,1,1086,2,1,1,0,83.58,0
13,3,259,2,0,1,1,51.77,1
17,5,790,1,0,1,0,35.7,1
1,1,446,2,0,1,0,41.38,1
21,1,1173,2,1,1,1,100.0,0
2,0,80,2,1,1,1,65.4,1
15,4,947,0,1,1,0,54.41,1
8,3,1601,1,1,1,1,100.0,2
3,1,698,0,0,0,1,39.94,1
0,0,378,1,0,0,0,22.34,1
3,5,1239,1,0,1,1,71.17,2
0,2,1532,2,1,0,0,95.96,2
13,6,1895,1,0,0,0,75.85,0
20,6,1001,0,1,1,0,55.03,0
15,3,1173,0,1,1,0,65.19,0
19,1,670,0,1,1,1,63.1,1
23,6,1928,1,1,1,0,94.84,0
7,4,1246,0,1,1,0,63.38,2
6,6,1822,1,0,1,0,70.66,2
2,6,211,0,1,0,0,39.33,1
16,6,1978,0,1,1,1,100.0,0
0,0,1801,1,0,0,1,84.03,2
15,1,825,0,1,1,1,72.75,0
11,4,1336,2,1,1,0,86.08,2
18,1,1877,1,0,0,1,87.31,0
21,3,323,1,0,1,1,38.69,1
22,3,1076,1,0,1,0,46.28,0
21,3,1101,2,1,0,1,99.03,0
13,5,375,1,0,1,0,29.25,1
5,6,989,0,0,0,1,47.67,1
5,5,1222,0,0,1,1,59.66,2
12,0,589,0,1,1,1,66.67,1
18,3,537,1,0,0,1,49.11,1
21,4,871,0,1,1,0,54.13,0
7,1,1511,1,1,0,0,82.33,2
1,6,1138,0,0,0,1,50.14,2
20,2,405,2,1,0,0,65.15,1
0,4,1606,2,1,1,1,100.0,2
14,6,1325,2,0,1,1,79.75,0
0,5,284,2,1,0,1,72.52,2
4,5,276,1,0,1,1,37.28,1
15,4,1598,0,1,1,1,90.94,0
18,5,1386,2,1,1,1,100.0,0
3,3,98,1,0,0,0,16.939999999999998,1
2,0,167,2,0,1,0,28.01,1
16,1,103,2,1,0,1,71.09,1
16,0,1723,1,1,1,0,91.69,0
11,6,614,1,0,1,1,52.42,1
13,1,1117,0,1,0,0,67.50999999999999,0
20,1,1888,0,1,1,0,90.64,0
5,0,102,2,1,0,0,50.06,1
2,4,1659,2,1,1,1,100.0,2
8,1,607,0,0,0,0,23.21,1
4,0,1598,0,0,1,1,62.94,2
23,1,1750,1,0,1,1,81.5,0
16,2,1175,0,0,1,1,59.25,0
13,4,1865,0,0,0,0,60.95,0
20,3,1843,2,0,0,0,82.28999999999999,0
2,1,1922,0,1,0,0,90.66,2
0,2,917,2,0,1,1,64.50999999999999,2
19,3,447,0,1,0,1,54.41,1
20,3,1211,1,1,0,0,74.33,0
22,6,724,0,1,0,1,68.72,0
0,1,1994,0,0,0,0,66.82,2
2,0,436,0,1,0,0,40.08,1
17,1,160,2,0,0,0,27.8,1
9,2,663,1,1,0,0,56.89,1
21,3,66,0,1,0,1,50.98,1
2,1,1853,2,0,0,0,76.59,2
7,0,1255,1,1,0,0,75.65,2
13,6,933,2,1,1,0,77.99,0
23,1,1609,2,1,1,0,97.27,0
17,4,590,1,1,0,0,54.7,1
14,6,220,0,0,1,0,7.6,1
21,0,458,2,1,1,0,66.74000000000001,1
22,2,789,2,1,0,1,83.67,0
1,3,1451,0,0,0,1,66.53,2
9,1,1261,0,1,0,1,77.83,2
1,0,907,1,1,1,1,83.21,2
16,6,279,1,1,0,0,48.37,1
7,4,1906,1,1,1,1,100.0,2
0,0,1925,0,0,0,1,74.75,2
8,5,168,2,1,1,1,67.03999999999999,1
10,4,1229,2,0,1,0,56.87,2
21,6,833,1,1,0,1,77.99,0
15,2,1760,0,1,0,1,93.8,0
6,3,514,2,1,1,0,69.42,1
9,6,153,1,0,1,1,36.59,1
22,2,1677,2,1,0,0,97.31,0
2,1,747,2,1,0,1,88.41,2
17,0,1868,0,0,1,0,62.04,0
23,5,1575,0,0,0,1,70.25,0
12,4,1766,2,0,1,1,92.98,0
6,4,1755,1,0,0,1,77.65,2
3,0,1772,0,1,0,0,85.16,2
12,5,224,2,1,0,1,66.72,1
19,0,1807,0,1,1,0,81.21000000000001,0
0,1,794,0,1,0,0,52.82,2
7,2,1747,0,0,1,0,59.41,2
13,6,1494,2,1,0,0,97.82,0
15,4,1207,1,1,1,1,92.21,0
13,1,1464,1,1,1,1,100.0,0
11,2,1809,1,1,0,1,100.0,2
18,1,1574,0,0,1,0,51.22,0
22,5,714,2,1,1,1,90.42,0
14,4,82,0,1,1,0,34.46,1
1,6,104,1,1,1,0,38.120000000000005,1
1,0,568,1,0,0,0,34.04,1
22,0,805,2,0,0,1,65.15,0
21,2,1898,0,1,0,1,96.94,0
18,6,1711,1,1,1,0,95.33,0
21,3,61,2,1,1,1,70.83,1
21,5,1601,0,0,0,1,68.03,0
16,2,769,0,1,0,0,48.07,1
19,3,604,1,1,1,0,54.120000000000005,1
9,1,422,1,1,0,1,66.66,1
5,5,533,0,0,0,0,16.990000000000002,1
14,1,1022,0,1,1,0,64.66,0
21,6,1720,1,1,0,1,100.0,0
10,4,1301,0,0,1,1,59.03,2
4,5,672,1,0,0,0,37.16,1
0,3,356,0,1,1,1,57.68,1
7,4,506,1,0,1,0,32.18,1
20,0,209,2,1,1,0,56.27,1
11,3,380,1,0,1,1,38.4,1
11,2,825,1,0,1,0,34.75,1
4,0,274,2,1,0,0,54.22,1
6,0,1032,0,1,0,0,59.96,2
3,2,778,2,1,0,1,92.34,2
5,5,1577,1,0,1,1,76.31,2
12,0,1529,0,1,0,1,94.87,0
19,6,1118,2,1,1,0,78.53999999999999,0
14,3,1287,0,1,1,0,63.61,0
2,4,1132,0,1,0,1,81.96000000000001,2
22,0,693,2,1,1,1,81.78999999999999,0
7,3,665,0,0,0,1,40.95,1
19,1,244,2,1,1,0,61.32,1
15,3,1998,1,1,1,1,100.0,0
12,4,538,0,0,0,0,22.14,1
17,3,206,1,1,1,1,63.18,1
9,2,659,1,1,0,0,58.77,1
18,4,1299,0,1,1,0,63.97,0
16,5,461,2,1,0,1,76.83,1
23,1,1278,0,1,1,0,72.34,0
18,2,1152,1,0,0,1,61.56,0
22,5,1197,1,0,0,0,54.91,0
4,3,520,2,0,1,0,39.6,1
20,4,1291,0,1,0,1,87.72999999999999,0
22,1,565,1,0,1,0,35.95,1
8,2,1675,1,1,1,1,100.0,2
11,5,1177,1,1,0,1,86.31,2
20,5,442,2,1,0,1,79.25999999999999,0
0,1,680,1,0,0,0,32.4,1
0,6,1718,1,0,0,0,61.54,2
14,3,1897,0,0,0,0,65.91,0
1,1,657,0,1,1,1,61.71,2
21,5,1029,1,0,0,1,63.87,0
15,0,483,1,1,1,0,58.49,1
7,2,1404,0,0,0,0,47.12,2
12,1,1216,2,0,0,1,76.47999999999999,0
20,6,1873,2,1,0,0,100.0,0
0,5,589,2,1,1,1,84.67,2
15,3,327,2,0,0,0,33.81,1
6,5,282,2,0,1,1,49.46,1
4,3,1602,2,0,1,0,76.06,2
21,1,1644,2,1,1,0,98.32,0
22,3,1163,2,1,0,1,98.89,0
2,4,1565,0,0,1,1,64.94999999999999,2
11,4,1272,2,0,0,1,78.16,2
15,4,411,2,1,1,0,58.33,1
18,6,1514,2,0,0,1,82.42,0
4,6,75,1,1,1,1,52.25,1
21,0,1098,0,1,0,0,58.94,0
13,6,1467,0,1,0,1,85.00999999999999,0
4,1,556,0,1,0,1,63.68,1
14,5,1374,2,1,1,1,100.0,0
16,5,1412,2,1,1,0,88.36,0
13,0,316,1,0,0,0,24.48,1
19,6,510,0,1,1,0,44.3,1
4,3,1766,2,1,1,1,100.0,2
11,0,505,0,0,1,0,19.15,1
15,3,1433,1,1,1,1,96.99,0
15,3,1141,1,0,1,1,63.23,0
20,2,1056,1,1,1,1,83.68,0
6,5,912,0,0,1,0,29.36,1
3,4,1485,2,0,0,0,67.55,2
0,6,540,2,1,0,1,82.2,2
4,3,1906,1,1,1,1,100.0,2
22,2,1122,2,1,0,0,87.66,0
9,5,1760,1,1,0,0,90.8,2
21,4,613,0,0,0,0,21.39,1
4,3,1175,1,0,1,1,60.25,2
3,3,265,0,0,1,0,16.95,1
1,0,1511,1,1,1,0,87.33,2
19,0,1773,2,0,1,0,73.19,0
9,5,1642,2,1,1,1,100.0,2
18,4,608,1,1,0,0,59.24,1
0,3,208,2,0,1,1,49.24,1
23,5,538,2,1,0,1,83.14,0
4,5,735,2,0,1,1,61.05,2
12,1,1315,0,1,0,0,71.44999999999999,0
3,6,843,2,0,1,0,54.29,2
15,0,1826,0,1,1,0,81.78,0
23,4,1955,1,0,1,1,92.65,0
15,3,54,2,0,1,0,27.62,1
22,5,1669,2,1,1,1,100.0,0
1,3,1893,2,1,1,0,100.0,2
16,1,410,1,0,0,0,30.3,1
19,4,508,0,1,1,0,46.24,1
23,5,297,0,1,0,0,36.91,1
11,3,1639,2,1,1,1,100.0,2
17,0,1746,1,0,0,1,86.38,0
2,6,995,1,0,0,1,60.85,2
0,1,471,1,1,0,1,73.13,2
0,4,1996,1,1,0,0,100.0,2
18,1,1811,1,0,0,1,82.33,0
10,0,64,0,1,0,1,50.92,1
4,4,785,0,0,1,1,40.55,1
11,1,1646,0,1,0,0,81.38,2
2,2,1195,2,1,1,1,95.85,2
0,0,326,1,1,1,1,67.78,1
0,0,1631,2,0,0,0,68.93,2
7,0,502,1,0,0,0,26.06,1
9,2,1463,0,0,1,1,65.89,2
10,2,1367,2,0,0,1,84.00999999999999,2
11,3,1647,0,1,0,0,80.41,2
12,5,647,1,1,0,1,71.41,1
11,6,495,1,0,0,0,30.85,1
13,1,259,1,1,0,1,62.77,1
1,3,1663,0,1,0,1,90.89,2
18,1,763,1,0,0,1,49.89,1
17,6,351,0,1,1,1,59.53,1
2,5,1982,2,1,0,1,100.0,2
22,2,1296,1,0,1,0,52.88,0
16,5,1807,1,1,1,0,98.21,0
7,2,52,1,1,1,1,54.56,1
9,6,1039,2,1,1,1,92.17,2
1,5,1591,1,0,0,1,75.72999999999999,2
18,3,1166,0,0,1,0,41.98,1
8,4,569,0,1,1,0,46.07,1
6,3,1501,1,1,1,0,84.03,2
3,1,542,1,1,1,0,60.26,1
20,3,1308,2,0,1,0,61.24,0
17,6,669,2,0,0,0,47.07,1
12,0,1234,2,0,0,0,62.02,0
10,1,1794,1,1,1,0,89.82,2
23,5,1825,2,1,0,1,100.0,0
3,1,380,2,1,0,0,64.4,1
20,4,382,0,1,1,0,42.46,1
3,2,99,2,1,1,0,56.97,1
9,5,1596,0,0,1,0,55.88,2
4,1,912,0,1,0,1,72.36,2
8,5,1741,2,1,1,0,100.0,2
23,5,1565,0,1,0,1,86.94999999999999,0
2,5,1655,1,0,0,1,79.65,2
16,2,1754,1,1,0,1,100.0,0
2,6,321,2,0,1,0,31.63,1
15,3,629,1,0,0,0,30.87,1
3,5,1940,0,0,1,0,60.2,2
17,0,1325,1,0,1,1,66.75,0
16,6,609,2,0,1,1,59.27,1
6,4,745,2,1,1,1,91.35,2
23,2,1905,0,1,1,1,98.15,0
22,1,1772,2,0,0,0,82.16,0
4,2,1163,1,0,0,0,53.89,2
11,1,495,2,0,0,0,35.85,1
16,2,1066,0,1,0,1,73.98,0
22,1,1405,2,1,0,1,100.0,0
12,5,1212,1,0,1,0,52.36,1
22,3,406,0,1,1,0,39.18,1
2,1,1674,1,1,0,1,100.0,2
8,1,323,0,0,0,0,17.689999999999998,1
16,0,1092,2,0,0,0,61.76,0
16,1,360,0,1,1,1,53.8,1
19,0,919,0,1,1,1,73.57,0
15,4,935,2,1,1,1,96.05,0
21,5,203,1,0,0,0,23.09,1
12,0,1463,2,0,0,1,85.89,0
18,3,1333,0,0,0,0,47.99,0
16,6,669,2,1,0,0,69.07,1
3,5,932,0,1,1,1,71.96,2
11,0,846,2,0,0,0,47.38,1
8,5,1644,2,1,0,1,100.0,2
18,5,174,1,0,0,1,37.22,1
11,5,1427,0,1,1,0,71.81,2
8,4,1346,1,0,1,0,53.38,2
6,3,668,0,1,0,1,67.03999999999999,1
13,2,1884,2,1,1,1,100.0,0
19,2,294,0,0,1,1,28.82,1
18,0,897,1,0,1,1,55.91,1
14,5,499,1,0,1,1,43.97,1
15,0,979,1,0,1,1,63.37,0
20,4,1320,0,0,0,0,40.6,0
4,4,569,1,1,0,0,55.07,1
2,1,1214,1,0,0,0,53.42,2
11,4,411,1,0,1,0,29.33,1
19,1,57,2,0,1,1,36.71,1
20,3,527,2,0,1,0,36.81,1
3,0,1425,0,0,1,0,46.75,2
20,6,544,0,1,0,1,64.32,1
22,3,1679,1,0,0,0,69.37,0
15,4,882,2,0,0,1,67.46,0
6,3,1500,1,0,0,1,79.0,2
12,3,1112,1,1,0,1,87.36,0
20,3,642,2,1,0,1,79.25999999999999,0
9,4,236,2,0,1,1,47.08,1
6,6,1669,2,0,1,0,77.07,2
13,5,1673,0,1,0,0,81.19,0
4,3,803,0,1,1,0,50.09,1
2,1,1927,1,1,0,1,100.0,2
22,4,142,0,0,0,0,7.26,1
10,3,135,2,0,1,0,32.05,1
10,6,1117,2,1,0,0,87.50999999999999,2
17,5,186,0,0,0,0,5.58,1
14,4,470,1,1,0,1,69.1,1
11,2,123,1,1,1,0,40.69,1
8,5,1621,0,1,1,1,96.63,2
9,1,1686,1,0,1,1,79.58,2
11,3,1585,1,1,1,0,87.55,2
16,6,1229,1,1,0,1,94.87,0
5,2,1328,2,0,1,1,82.84,2
6,6,220,2,1,1,1,73.6,1
13,2,1801,0,0,1,1,77.03,0
12,4,219,2,1,0,1,69.57,1
7,2,1837,1,0,1,1,85.11,2
9,1,921,2,1,1,1,91.63,2
8,1,371,0,1,0,0,40.13,1
17,0,1640,2,1,0,0,97.2,0
1,1,505,1,1,0,1,66.15,2
4,5,993,1,1,0,1,84.78999999999999,2
4,2,1676,0,0,1,0,58.28,2
5,1,839,2,0,0,0,45.17,1
18,4,662,2,1,1,0,70.86,0
7,6,1228,2,1,1,0,86.84,2
15,6,938,1,1,1,1,80.14,0
12,0,398,0,0,1,1,26.94,1
0,6,1524,2,0,1,0,68.72,2
21,2,1949,1,1,0,0,100.0,0
19,0,1726,1,0,1,0,62.78,0
16,2,1246,1,1,1,0,74.38,0
6,4,59,2,1,1,1,62.77,1
12,0,789,2,1,0,0,69.67,1
3,3,1338,2,0,1,0,69.14,2
3,5,1511,2,1,1,0,97.33,2
5,5,1833,2,1,0,1,100.0,2
18,2,1320,2,1,1,1,100.0,0
11,6,716,2,0,1,1,63.48,1
21,3,595,2,0,0,0,39.85,1
6,0,1572,2,0,1,0,68.16,2
9,3,178,1,1,1,0,47.34,1
18,3,1745,2,0,1,1,89.35,0
6,6,650,0,1,1,1,65.5,1
2,0,654,1,0,1,0,29.62,1
12,4,376,2,1,0,0,61.28,1
12,6,1826,0,0,0,1,77.78,0
17,3,1908,2,1,0,0,100.0,0
19,3,1029,0,0,1,0,36.87,1
7,4,453,0,0,1,0,18.59,1
8,3,678,0,0,1,1,42.34,1
6,3,1679,0,1,0,0,77.37,2
0,3,1748,1,0,1,0,64.44,2
2,5,1684,1,0,1,0,63.52,2
12,6,1698,0,0,1,0,52.94,0
16,1,1432,2,0,0,1,85.96000000000001,0
23,6,1676,0,1,0,1,93.28,0
0,4,1931,1,0,1,1,87.93,2
5,3,767,2,1,1,0,75.00999999999999,2
20,6,1090,1,1,1,1,89.69999999999999,0
5,5,323,1,1,0,0,48.69,1
11,4,734,2,1,0,1,86.02,2
12,2,165,0,0,0,0,9.95,1
12,6,910,0,1,1,1,76.3,0
14,2,742,0,1,0,1,68.25999999999999,1
