hour,day_of_week,vehicle_count,weather,accident,road_type,event,congestion_level
4,2,1139,0,1,0,1,75.17
9,2,985,2,0,0,1,70.55
6,5,1730,1,0,0,0,70.9
8,1,424,0,0,1,0,18.72
6,0,211,1,0,1,0,19.33
8,1,1819,2,0,0,0,81.57
7,4,1453,2,1,0,1,100.0
11,0,1729,1,0,0,1,82.87
1,6,1431,0,0,1,0,45.93
0,6,1261,0,0,0,0,41.83
15,6,371,2,1,0,1,77.13
22,2,499,1,1,1,1,73.97
22,1,1547,1,1,1,1,98.41
23,6,1086,0,0,0,1,56.58
4,3,233,0,1,0,1,50.989999999999995
2,5,160,0,1,1,0,31.8
11,3,557,1,1,0,0,55.71
7,6,1363,0,1,0,1,82.89
21,5,344,0,0,1,1,34.32
2,4,1524,2,1,1,0,96.72
0,3,953,0,1,1,1,68.59
2,1,1288,0,0,0,0,46.64
4,1,1023,1,0,1,0,48.69
14,3,681,1,1,1,0,59.43
13,6,1967,2,0,0,0,87.00999999999999
2,1,1640,0,1,0,1,98.19999999999999
0,4,1100,2,0,1,1,73.0
4,0,1703,1,0,1,0,65.09
22,6,782,2,1,0,1,85.46000000000001
13,4,1304,1,0,0,1,71.12
6,5,1638,2,1,1,1,100.0
8,4,1880,2,0,1,1,100.0
14,6,370,0,1,0,0,38.1
14,5,962,2,0,1,1,68.86
9,6,1306,0,0,0,0,46.18
12,1,1743,0,0,1,0,60.29
18,0,486,0,0,0,1,34.58
6,6,830,0,0,0,0,28.9
16,6,1606,2,1,1,1,100.0
19,1,1476,1,0,1,1,70.28
3,2,1126,1,1,0,0,76.78
4,1,1860,1,1,1,1,100.0
22,5,1386,2,1,1,0,87.58
6,1,1354,0,0,1,0,42.62
12,1,775,1,1,0,1,75.25
14,0,80,2,0,1,1,40.4
10,1,386,0,1,1,1,57.58
3,6,232,1,1,0,0,49.96
12,0,1096,0,1,1,1,73.88
6,3,593,1,1,1,0,55.79
18,2,1519,1,1,0,0,88.57
21,0,1147,1,0,0,1,60.41
1,5,1083,0,1,1,1,81.49000000000001
9,3,1557,2,1,1,1,100.0
12,0,1529,0,0,0,0,54.87
20,0,1639,1,0,0,1,81.17
5,2,1637,0,0,1,0,57.11
11,6,709,2,1,1,1,87.27
11,5,209,0,1,1,1,53.269999999999996
19,4,1955,2,1,0,0,100.0
10,4,1087,2,1,1,0,80.61
22,0,1251,0,1,0,1,78.53
6,1,461,1,1,0,1,70.83
0,5,1951,2,0,0,1,94.53
0,3,1061,0,0,1,1,54.83
19,1,102,2,1,1,1,66.06
12,1,457,1,1,1,0,48.71
8,5,896,0,1,0,0,54.879999999999995
2,6,1095,0,1,1,0,59.85
6,0,1103,0,1,0,0,63.089999999999996
5,0,752,1,0,0,1,53.56
7,0,309,2,0,0,0,36.269999999999996
8,0,1278,0,1,0,0,64.34
4,4,1132,2,0,0,0,58.96
0,0,1544,2,1,0,1,100.0
18,4,825,1,1,1,0,68.75
9,4,1539,0,1,0,1,90.17
11,6,1085,2,0,1,0,61.55
23,0,1704,0,0,0,1,75.12
14,2,1363,0,1,1,0,71.89
21,3,899,1,0,1,1,53.97
23,1,1833,0,0,1,0,57.989999999999995
8,4,403,0,1,1,1,61.09
19,5,1712,2,0,0,1,94.36
16,5,1148,1,0,0,0,47.44
16,3,922,0,1,0,1,69.66
19,5,1789,2,1,0,1,100.0
11,2,1634,1,0,1,0,63.019999999999996
6,5,1664,1,1,1,0,87.92
1,1,1514,2,0,1,1,87.42
2,1,1040,2,1,0,0,82.2
16,4,1314,2,1,1,0,89.42
4,0,1067,2,1,0,0,78.00999999999999
16,6,1934,2,1,1,1,100.0
23,2,1227,0,0,1,1,60.809999999999995
16,4,1859,0,1,1,1,100.0
16,2,1169,1,1,1,1,93.07
1,0,1799,0,1,1,1,97.97
1,5,343,0,0,0,1,27.29
21,5,258,0,0,1,1,23.74
22,6,1416,2,1,0,0,94.47999999999999
4,0,1161,1,1,0,1,89.83
0,4,867,1,1,0,1,85.00999999999999
0,6,1849,1,1,0,0,96.47
18,0,439,1,1,0,0,48.17
1,3,374,0,1,0,0,36.22
20,1,989,0,0,0,1,53.67
11,6,938,2,1,0,0,74.14
5,6,1905,1,1,1,1,100.0
22,4,1230,0,1,1,1,78.9
3,2,717,0,1,0,1,61.51
22,3,1724,2,1,0,0,100.0
10,4,682,2,1,0,0,67.46000000000001
23,0,626,2,0,1,1,53.78
16,0,1692,0,0,1,1,72.75999999999999
5,0,1732,0,0,0,1,71.96000000000001
23,0,186,2,0,0,0,33.58
4,2,1996,1,0,1,1,86.88
19,3,1747,2,0,1,0,80.41
1,5,477,2,1,0,1,82.31
5,1,1525,2,1,0,0,90.75
21,2,661,2,1,0,1,81.83
10,2,1923,0,1,0,0,87.69
15,5,960,1,1,1,0,70.8
15,5,868,2,1,1,0,74.03999999999999
0,1,190,1,0,0,0,19.7
8,1,1156,1,1,0,0,77.68
5,5,226,1,0,0,0,21.78
15,0,247,2,0,1,1,48.41
2,2,673,0,1,0,1,66.19
19,4,1641,2,1,0,1,100.0
3,1,740,1,1,0,1,75.2
18,1,1494,1,1,1,0,82.82
2,5,450,0,1,0,1,57.5
18,3,1771,2,1,1,0,100.0
19,4,520,1,1,0,0,57.6
6,4,267,0,0,0,0,16.009999999999998
19,1,1998,1,1,0,1,100.0
8,0,978,0,1,1,0,60.34
0,3,1901,0,0,0,1,72.03
7,4,1802,2,1,0,1,100.0
6,1,681,1,1,1,1,73.43
17,4,1000,2,0,1,1,74.0
7,6,955,1,1,1,1,84.65
0,3,224,2,1,0,0,52.72
10,3,72,1,1,1,0,38.16
17,6,1798,2,1,0,1,100.0
22,2,1990,0,1,1,0,93.69999999999999
9,6,284,1,1,1,1,59.519999999999996
2,5,1086,1,0,1,0,48.58
6,5,1174,0,1,0,0,68.22
15,1,978,2,1,0,0,79.34
15,3,1609,1,0,0,0,67.27
19,2,1949,1,0,0,0,69.47
16,2,572,2,1,0,0,71.16
1,4,1858,0,0,0,0,64.74
0,4,1525,2,1,0,0,98.75
15,6,480,2,1,0,0,65.4
11,2,842,2,0,0,0,45.26
4,6,1679,1,1,1,0,93.37
4,6,1786,0,1,1,0,79.58
22,4,582,0,0,0,0,20.46
8,3,1925,2,0,0,1,100.0
8,6,1028,1,0,0,0,43.84
2,0,1796,2,0,0,0,75.88
18,3,1725,1,1,1,0,86.75
15,2,1366,1,0,1,0,56.98
15,2,859,1,0,0,0,40.769999999999996
2,6,962,1,0,1,0,47.86
19,3,1174,0,0,1,1,53.22
23,4,1575,1,0,0,1,77.25
21,4,1377,1,1,0,1,96.31
23,5,920,2,0,0,0,50.599999999999994
0,2,589,2,1,0,0,67.67
23,1,1073,0,0,1,0,41.19
19,5,1626,2,0,0,1,90.78
10,4,1428,1,0,1,0,54.839999999999996
16,3,1376,2,0,0,0,64.28
7,4,1569,0,0,1,1,71.07
3,3,1731,2,0,0,1,86.93
5,5,1841,2,0,0,0,78.22999999999999
7,2,276,0,0,1,0,17.28
19,4,1309,0,1,1,0,73.27
2,6,922,1,0,1,0,45.66
15,3,941,2,1,0,1,95.23
2,2,1528,1,0,1,0,58.839999999999996
17,1,1086,2,1,1,0,83.58
13,3,259,2,0,1,1,51.769999999999996
17,5,790,1,0,1,0,35.7
1,1,446,2,0,1,0,41.379999999999995
21,1,1173,2,1,1,1,100.0
2,0,80,2,1,1,1,65.4
15,4,947,0,1,1,0,54.41
8,3,1601,1,1,1,1,100.0
3,1,698,0,0,0,1,39.94
0,0,378,1,0,0,0,22.34
3,5,1239,1,0,1,1,71.17
0,2,1532,2,1,0,0,95.96000000000001
13,6,1895,1,0,0,0,75.85
20,6,1001,0,1,1,0,55.03
15,3,1173,0,1,1,0,65.19
19,1,670,0,1,1,1,63.099999999999994
23,6,1928,1,1,1,0,94.84
7,4,1246,0,1,1,0,63.379999999999995
6,6,1822,1,0,1,0,70.66
2,6,211,0,1,0,0,39.33
16,6,1978,0,1,1,1,100.0
0,0,1801,1,0,0,1,84.03
15,1,825,0,1,1,1,72.75
11,4,1336,2,1,1,0,86.08
18,1,1877,1,0,0,1,87.31
21,3,323,1,0,1,1,38.69
22,3,1076,1,0,1,0,46.28
21,3,1101,2,1,0,1,99.03
13,5,375,1,0,1,0,29.25
5,6,989,0,0,0,1,47.67
5,5,1222,0,0,1,1,59.66
12,0,589,0,1,1,1,66.67
18,3,537,1,0,0,1,49.11
21,4,871,0,1,1,0,54.129999999999995
7,1,1511,1,1,0,0,82.33
1,6,1138,0,0,0,1,50.14
20,2,405,2,1,0,0,65.15
0,4,1606,2,1,1,1,100.0
14,6,1325,2,0,1,1,79.75
0,5,284,2,1,0,1,72.52
4,5,276,1,0,1,1,37.28
15,4,1598,0,1,1,1,90.94
18,5,1386,2,1,1,1,100.0
3,3,98,1,0,0,0,16.939999999999998
2,0,167,2,0,1,0,28.009999999999998
16,1,103,2,1,0,1,71.09
16,0,1723,1,1,1,0,91.69
11,6,614,1,0,1,1,52.42
13,1,1117,0,1,0,0,67.50999999999999
20,1,1888,0,1,1,0,90.64
5,0,102,2,1,0,0,50.06
2,4,1659,2,1,1,1,100.0
8,1,607,0,0,0,0,23.21
4,0,1598,0,0,1,1,62.94
23,1,1750,1,0,1,1,81.5
16,2,1175,0,0,1,1,59.25
13,4,1865,0,0,0,0,60.949999999999996
20,3,1843,2,0,0,0,82.28999999999999
2,1,1922,0,1,0,0,90.66
0,2,917,2,0,1,1,64.50999999999999
19,3,447,0,1,0,1,54.41
20,3,1211,1,1,0,0,74.33
22,6,724,0,1,0,1,68.72
0,1,1994,0,0,0,0,66.82
2,0,436,0,1,0,0,40.08
17,1,160,2,0,0,0,27.8
9,2,663,1,1,0,0,56.89
21,3,66,0,1,0,1,50.980000000000004
2,1,1853,2,0,0,0,76.59
7,0,1255,1,1,0,0,75.65
13,6,933,2,1,1,0,77.99
23,1,1609,2,1,1,0,97.27
17,4,590,1,1,0,0,54.7
14,6,220,0,0,1,0,7.6
21,0,458,2,1,1,0,66.74000000000001
22,2,789,2,1,0,1,83.67
1,3,1451,0,0,0,1,66.53
9,1,1261,0,1,0,1,77.83
1,0,907,1,1,1,1,83.21
16,6,279,1,1,0,0,48.37
7,4,1906,1,1,1,1,100.0
0,0,1925,0,0,0,1,74.75
8,5,168,2,1,1,1,67.03999999999999
10,4,1229,2,0,1,0,56.87
21,6,833,1,1,0,1,77.99
15,2,1760,0,1,0,1,93.8
6,3,514,2,1,1,0,69.42
9,6,153,1,0,1,1,36.59
22,2,1677,2,1,0,0,97.31
2,1,747,2,1,0,1,88.41
17,0,1868,0,0,1,0,62.04
23,5,1575,0,0,0,1,70.25
12,4,1766,2,0,1,1,92.97999999999999
6,4,1755,1,0,0,1,77.65
3,0,1772,0,1,0,0,85.16
12,5,224,2,1,0,1,66.72
19,0,1807,0,1,1,0,81.21000000000001
0,1,794,0,1,0,0,52.82
7,2,1747,0,0,1,0,59.41
13,6,1494,2,1,0,0,97.82
15,4,1207,1,1,1,1,92.21000000000001
13,1,1464,1,1,1,1,100.0
11,2,1809,1,1,0,1,100.0
18,1,1574,0,0,1,0,51.22
22,5,714,2,1,1,1,90.42
14,4,82,0,1,1,0,34.46
1,6,104,1,1,1,0,38.120000000000005
1,0,568,1,0,0,0,34.04
22,0,805,2,0,0,1,65.15
21,2,1898,0,1,0,1,96.94
18,6,1711,1,1,1,0,95.33
21,3,61,2,1,1,1,70.83
21,5,1601,0,0,0,1,68.03
16,2,769,0,1,0,0,48.07
19,3,604,1,1,1,0,54.120000000000005
9,1,422,1,1,0,1,66.66
5,5,533,0,0,0,0,16.990000000000002
14,1,1022,0,1,1,0,64.66
21,6,1720,1,1,0,1,100.0
10,4,1301,0,0,1,1,59.03
4,5,672,1,0,0,0,37.16
0,3,356,0,1,1,1,57.68
7,4,506,1,0,1,0,32.18
20,0,209,2,1,1,0,56.269999999999996
11,3,380,1,0,1,1,38.4
11,2,825,1,0,1,0,34.75
4,0,274,2,1,0,0,54.22
6,0,1032,0,1,0,0,59.959999999999994
3,2,778,2,1,0,1,92.34
5,5,1577,1,0,1,1,76.31
12,0,1529,0,1,0,1,94.87
19,6,1118,2,1,1,0,78.53999999999999
14,3,1287,0,1,1,0,63.61
2,4,1132,0,1,0,1,81.96000000000001
22,0,693,2,1,1,1,81.78999999999999
7,3,665,0,0,0,1,40.95
19,1,244,2,1,1,0,61.32
15,3,1998,1,1,1,1,100.0
12,4,538,0,0,0,0,22.14
17,3,206,1,1,1,1,63.18
9,2,659,1,1,0,0,58.769999999999996
18,4,1299,0,1,1,0,63.97
16,5,461,2,1,0,1,76.83
23,1,1278,0,1,1,0,72.34
18,2,1152,1,0,0,1,61.56
22,5,1197,1,0,0,0,54.91
4,3,520,2,0,1,0,39.6
20,4,1291,0,1,0,1,87.72999999999999
22,1,565,1,0,1,0,35.95
8,2,1675,1,1,1,1,100.0
11,5,1177,1,1,0,1,86.31
20,5,442,2,1,0,1,79.25999999999999
0,1,680,1,0,0,0,32.4
0,6,1718,1,0,0,0,61.54
14,3,1897,0,0,0,0,65.91
1,1,657,0,1,1,1,61.71
21,5,1029,1,0,0,1,63.87
15,0,483,1,1,1,0,58.49
7,2,1404,0,0,0,0,47.12
12,1,1216,2,0,0,1,76.47999999999999
20,6,1873,2,1,0,0,100.0
0,5,589,2,1,1,1,84.67
15,3,327,2,0,0,0,33.81
6,5,282,2,0,1,1,49.46
4,3,1602,2,0,1,0,76.06
21,1,1644,2,1,1,0,98.32
22,3,1163,2,1,0,1,98.89
2,4,1565,0,0,1,1,64.94999999999999
11,4,1272,2,0,0,1,78.16
15,4,411,2,1,1,0,58.33
18,6,1514,2,0,0,1,82.42
4,6,75,1,1,1,1,52.25
21,0,1098,0,1,0,0,58.94
13,6,1467,0,1,0,1,85.00999999999999
4,1,556,0,1,0,1,63.68
14,5,1374,2,1,1,1,100.0
16,5,1412,2,1,1,0,88.36
13,0,316,1,0,0,0,24.48
19,6,510,0,1,1,0,44.3
4,3,1766,2,1,1,1,100.0
11,0,505,0,0,1,0,19.15
15,3,1433,1,1,1,1,96.99
15,3,1141,1,0,1,1,63.23
20,2,1056,1,1,1,1,83.68
6,5,912,0,0,1,0,29.36
3,4,1485,2,0,0,0,67.55
0,6,540,2,1,0,1,82.2
4,3,1906,1,1,1,1,100.0
22,2,1122,2,1,0,0,87.66
9,5,1760,1,1,0,0,90.8
21,4,613,0,0,0,0,21.39
4,3,1175,1,0,1,1,60.25
3,3,265,0,0,1,0,16.95
1,0,1511,1,1,1,0,87.33
19,0,1773,2,0,1,0,73.19
9,5,1642,2,1,1,1,100.0
18,4,608,1,1,0,0,59.239999999999995
0,3,208,2,0,1,1,49.24
23,5,538,2,1,0,1,83.14
4,5,735,2,0,1,1,61.05
12,1,1315,0,1,0,0,71.44999999999999
3,6,843,2,0,1,0,54.29
15,0,1826,0,1,1,0,81.78
23,4,1955,1,0,1,1,92.65
15,3,54,2,0,1,0,27.62
22,5,1669,2,1,1,1,100.0
1,3,1893,2,1,1,0,100.0
16,1,410,1,0,0,0,30.299999999999997
19,4,508,0,1,1,0,46.24
23,5,297,0,1,0,0,36.91
11,3,1639,2,1,1,1,100.0
17,0,1746,1,0,0,1,86.38
2,6,995,1,0,0,1,60.849999999999994
0,1,471,1,1,0,1,73.13
0,4,1996,1,1,0,0,100.0
18,1,1811,1,0,0,1,82.33
10,0,64,0,1,0,1,50.92
4,4,785,0,0,1,1,40.55
11,1,1646,0,1,0,0,81.38
2,2,1195,2,1,1,1,95.85
0,0,326,1,1,1,1,67.78
0,0,1631,2,0,0,0,68.93
7,0,502,1,0,0,0,26.06
9,2,1463,0,0,1,1,65.89
10,2,1367,2,0,0,1,84.00999999999999
11,3,1647,0,1,0,0,80.41
12,5,647,1,1,0,1,71.41
11,6,495,1,0,0,0,30.85
13,1,259,1,1,0,1,62.769999999999996
1,3,1663,0,1,0,1,90.89
18,1,763,1,0,0,1,49.89
17,6,351,0,1,1,1,59.53
2,5,1982,2,1,0,1,100.0
22,2,1296,1,0,1,0,52.879999999999995
16,5,1807,1,1,1,0,98.21000000000001
7,2,52,1,1,1,1,54.56
9,6,1039,2,1,1,1,92.17
1,5,1591,1,0,0,1,75.72999999999999
18,3,1166,0,0,1,0,41.98
8,4,569,0,1,1,0,46.07
6,3,1501,1,1,1,0,84.03
3,1,542,1,1,1,0,60.26
20,3,1308,2,0,1,0,61.24
17,6,669,2,0,0,0,47.07
12,0,1234,2,0,0,0,62.019999999999996
10,1,1794,1,1,1,0,89.82
23,5,1825,2,1,0,1,100.0
3,1,380,2,1,0,0,64.4
20,4,382,0,1,1,0,42.46
3,2,99,2,1,1,0,56.97
9,5,1596,0,0,1,0,55.879999999999995
4,1,912,0,1,0,1,72.36
8,5,1741,2,1,1,0,100.0
23,5,1565,0,1,0,1,86.94999999999999
2,5,1655,1,0,0,1,79.65
16,2,1754,1,1,0,1,100.0
2,6,321,2,0,1,0,31.63
15,3,629,1,0,0,0,30.87
3,5,1940,0,0,1,0,60.199999999999996
17,0,1325,1,0,1,1,66.75
16,6,609,2,0,1,1,59.269999999999996
6,4,745,2,1,1,1,91.35
23,2,1905,0,1,1,1,98.15
22,1,1772,2,0,0,0,82.16
4,2,1163,1,0,0,0,53.89
11,1,495,2,0,0,0,35.85
16,2,1066,0,1,0,1,73.98
22,1,1405,2,1,0,1,100.0
12,5,1212,1,0,1,0,52.36
22,3,406,0,1,1,0,39.18
2,1,1674,1,1,0,1,100.0
8,1,323,0,0,0,0,17.689999999999998
16,0,1092,2,0,0,0,61.76
16,1,360,0,1,1,1,53.8
19,0,919,0,1,1,1,73.57
15,4,935,2,1,1,1,96.05
21,5,203,1,0,0,0,23.09
12,0,1463,2,0,0,1,85.89
18,3,1333,0,0,0,0,47.99
16,6,669,2,1,0,0,69.07
3,5,932,0,1,1,1,71.96
11,0,846,2,0,0,0,47.379999999999995
8,5,1644,2,1,0,1,100.0
18,5,174,1,0,0,1,37.22
11,5,1427,0,1,1,0,71.81
8,4,1346,1,0,1,0,53.379999999999995
6,3,668,0,1,0,1,67.03999999999999
13,2,1884,2,1,1,1,100.0
19,2,294,0,0,1,1,28.82
18,0,897,1,0,1,1,55.91
14,5,499,1,0,1,1,43.97
15,0,979,1,0,1,1,63.37
20,4,1320,0,0,0,0,40.6
4,4,569,1,1,0,0,55.07
2,1,1214,1,0,0,0,53.42
11,4,411,1,0,1,0,29.33
19,1,57,2,0,1,1,36.71
20,3,527,2,0,1,0,36.81
3,0,1425,0,0,1,0,46.75
20,6,544,0,1,0,1,64.32
22,3,1679,1,0,0,0,69.37
15,4,882,2,0,0,1,67.46
6,3,1500,1,0,0,1,79.0
12,3,1112,1,1,0,1,87.36
20,3,642,2,1,0,1,79.25999999999999
9,4,236,2,0,1,1,47.08
6,6,1669,2,0,1,0,77.07
13,5,1673,0,1,0,0,81.19
4,3,803,0,1,1,0,50.09
2,1,1927,1,1,0,1,100.0
22,4,142,0,0,0,0,7.26
10,3,135,2,0,1,0,32.05
10,6,1117,2,1,0,0,87.50999999999999
17,5,186,0,0,0,0,5.58
14,4,470,1,1,0,1,69.1
11,2,123,1,1,1,0,40.69
8,5,1621,0,1,1,1,96.63
9,1,1686,1,0,1,1,79.58
11,3,1585,1,1,1,0,87.55
16,6,1229,1,1,0,1,94.87
5,2,1328,2,0,1,1,82.84
6,6,220,2,1,1,1,73.6
13,2,1801,0,0,1,1,77.03
12,4,219,2,1,0,1,69.57
7,2,1837,1,0,1,1,85.11
9,1,921,2,1,1,1,91.63
8,1,371,0,1,0,0,40.129999999999995
17,0,1640,2,1,0,0,97.19999999999999
1,1,505,1,1,0,1,66.15
4,5,993,1,1,0,1,84.78999999999999
4,2,1676,0,0,1,0,58.28
5,1,839,2,0,0,0,45.17
18,4,662,2,1,1,0,70.86
7,6,1228,2,1,1,0,86.84
15,6,938,1,1,1,1,80.14
12,0,398,0,0,1,1,26.939999999999998
0,6,1524,2,0,1,0,68.72
21,2,1949,1,1,0,0,100.0
19,0,1726,1,0,1,0,62.78
16,2,1246,1,1,1,0,74.38
6,4,59,2,1,1,1,62.769999999999996
12,0,789,2,1,0,0,69.67
3,3,1338,2,0,1,0,69.14
3,5,1511,2,1,1,0,97.33
5,5,1833,2,1,0,1,100.0
18,2,1320,2,1,1,1,100.0
11,6,716,2,0,1,1,63.480000000000004
21,3,595,2,0,0,0,39.849999999999994
6,0,1572,2,0,1,0,68.16
9,3,178,1,1,1,0,47.34
18,3,1745,2,0,1,1,89.35
6,6,650,0,1,1,1,65.5
2,0,654,1,0,1,0,29.62
12,4,376,2,1,0,0,61.28
12,6,1826,0,0,0,1,77.78
17,3,1908,2,1,0,0,100.0
19,3,1029,0,0,1,0,36.87
7,4,453,0,0,1,0,18.59
8,3,678,0,0,1,1,42.34
6,3,1679,0,1,0,0,77.37
0,3,1748,1,0,1,0,64.44
2,5,1684,1,0,1,0,63.519999999999996
12,6,1698,0,0,1,0,52.94
16,1,1432,2,0,0,1,85.96000000000001
23,6,1676,0,1,0,1,93.28
0,4,1931,1,0,1,1,87.93
5,3,767,2,1,1,0,75.00999999999999
20,6,1090,1,1,1,1,89.69999999999999
5,5,323,1,1,0,0,48.69
11,4,734,2,1,0,1,86.02
12,2,165,0,0,0,0,9.95
12,6,910,0,1,1,1,76.3
14,2,742,0,1,0,1,68.25999999999999
20,3,1164,0,1,1,1,83.92
15,5,1155,2,1,1,0,85.65
21,5,373,2,0,0,0,34.19
20,6,1010,2,0,1,0,55.3
10,4,163,1,1,0,1,60.89
4,4,1842,2,1,1,0,100.0
3,5,1131,0,1,1,0,62.93
2,4,203,1,0,0,0,17.09
18,5,1950,0,0,1,0,64.5
19,6,1477,0,0,1,0,49.309999999999995
17,1,1701,2,0,1,0,71.03
14,5,1928,2,0,1,1,95.84
8,2,1339,0,1,1,1,82.17
16,4,364,0,0,1,0,12.92
13,5,1788,1,0,1,1,84.64
14,5,1114,2,1,1,1,100.0
0,6,154,1,0,0,0,17.62
20,4,1974,1,0,0,0,76.22
21,1,1963,1,0,1,1,91.89
21,6,1266,0,1,1,0,64.97999999999999
2,1,1474,1,0,0,1,73.22
15,6,1351,1,1,1,1,93.53
22,4,403,0,1,0,1,61.09
10,0,1065,2,0,0,0,56.95
11,4,1822,2,0,0,1,98.66
9,4,782,1,0,1,0,36.46
15,1,1653,0,0,1,0,56.589999999999996
7,1,758,2,1,1,0,69.74
5,4,1329,1,0,0,0,53.87
11,4,700,1,1,0,0,56.0
23,4,873,0,1,0,1,71.19
20,1,996,1,1,1,0,68.88
7,4,710,2,1,0,0,73.3
3,4,148,0,1,0,0,37.44
7,3,637,2,0,1,0,46.11
17,0,331,2,1,0,0,61.93
4,2,1956,2,1,0,1,100.0
8,0,452,1,0,1,0,26.56
3,3,1182,1,0,1,0,48.46
21,2,749,2,1,0,1,86.47
16,6,248,2,1,1,0,60.44
8,4,1376,0,0,0,1,64.28
0,3,376,0,1,1,1,60.28
20,6,203,1,0,0,1,31.09
19,4,601,1,0,1,1,50.03
12,1,1718,0,1,0,0,76.53999999999999
15,5,454,2,0,1,0,34.62
12,3,511,1,1,1,1,71.33
13,1,181,2,1,1,1,72.43
2,3,840,0,1,1,0,50.2
5,3,923,1,0,1,1,54.69
17,1,133,1,1,1,1,59.99
18,2,1472,0,0,1,1,67.16
4,0,803,1,1,0,0,66.09
14,4,677,0,1,0,1,67.31
1,3,1182,1,0,1,0,53.46
9,4,270,0,1,1,0,42.1
23,5,1977,1,1,0,0,96.31
17,1,602,2,0,0,1,60.06
